Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Rasalgethi,α1 Herculis Aa,https://en.wikipedia.org/wiki/Rasalgethi,Hercules,17h 14m 39.181s,+14° 23′ 23.98″,5.322,G8III + A9IV-V,,,,,RA: −7.32 mas/yr Dec.: 36.07 mas/yr,9.07 ± 1.32 mas,approx. 360 ly (approx. 110 pc),−2.3 + 1.8 + 2.8,~2 M☉,"284 ± 60, 264–303 R☉",26 L☉,−0.41±0.19 cgs,"7,350 K",,0.41–1.25 Gyr,α Her,+1.01,+1.45,SRc,,,,,,,,,,,,,,,,AGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasalhague,α Ophiuchi A,https://en.wikipedia.org/wiki/Rasalhague,Ophiuchus,17h 34m 56.06945s,+12° 33′ 36.1346″,2.07,A5 III / K5–7 V,,,,,RA: 108.07 mas/yr Dec.: -221.57 mas/yr,67.13 ± 1.06 mas,48.6 ± 0.8 ly (14.9 ± 0.2 pc),+1.248,0.85+0.06−0.04 M☉,2.6 R☉,25.1–25.6 L☉,3.91 cgs,"7,880–8,050 K",,0.77±0.03 Gyr,data,+0.10,+0.15,,+12.6 km/s,240 km/s,,"3,148.4 days",427+20−13 mas,0.92±0.03,125+6−9°,232±9°,"2,452,888±53 JD",162±14°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rastaban,β Draconis A,https://en.wikipedia.org/wiki/Rastaban,Draco,17h 30m 25.96170s,+52° 18′ 04.9993″,2.79,G2Ib-IIa,,,,,RA: −15.89 mas/yr Dec.: +12.28 mas/yr,8.58 ± 0.10 mas,380 ± 4 ly (117 ± 1 pc),–2.457,6.0±0.2 M☉,40 R☉,996 L☉,1.86±0.04 cgs,"5,160±150 K",0.02±0.10 dex,65 Myr,data,+0.954±0.007,+0.98,,−21.00±0.23 km/s,10.7 km/s,,,,,,,,,,,,+0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regor†,γ Velorum,https://en.wikipedia.org/wiki/%CE%93_Velorum,Vela,08h 09m 29.3260s,–47° 20′ 43.027″,4.27,B2III,,,,,RA: –0.6 mas/yr Dec.: +9.7 mas/yr,2.92 ± 0.30 mas,379+4−4 pc,−3.62,14 M☉,17 ± 2 R☉,,,"35,000 K",,8 Myr,data,−0.92,−0.22,Wolf–Rayet,+9.7 ± 1 km/s,,,78.53 ± 0.01 days,1.2 AU,0.326 ± 0.01,65 ± 8°,,"2,450,120.5 ± 2",248 ± 4°,WR,O,38.4 ± 2 km/s,,,,"280,000 L☉",,,,,,,,,,,,,122 ± 2 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Regulus,α Leonis A,https://en.wikipedia.org/wiki/Regulus,Leo,10h 08m 12.8/14s,+11° 59′ 48″,8.13/13.50,K2 V + M4 V,,,,,RA: −254.399±0.028 mas/yr Dec.: 8.127±0.027 mas/yr,41.2745 ± 0.0270 mas,79.02 ± 0.05 ly (24.23 ± 0.02 pc),6.20/11.56,0.3 M☉,0.37 R☉,0.50 L☉,4.4 cgs,"3,242 K",−0.21 dex,≳1 Gyr,Regulus,+0.51,+0.86,Suspected,+6.72 km/s,318±8 km/s,UK: /ˈrɛɡˌjulʊs/ US: /ˈrɛɡˌjʊlʊsˌ/,40.102±0.002 d,6.00±0.17 R☉ projected,0 (assumed),,,,,α Leo Ab (HD 87901 B),α Leo Aa (HD 87901 A),7.58±0.12 km/s,,,Main sequence,,,,,,,,15.9 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revati,ζ Piscium A,https://en.wikipedia.org/wiki/Revati_(star),Pisces,01h 13m 43.88735s,+07° 34′ 42.1765″,6.43,A7IV + A7IV + F7V + G7V + ?,,,,,RA: +181.78 mas/yr Dec.: −40.34 mas/yr,18.76 ± 2.76 mas,approx. 170 ly (approx. 53 pc),1.97,2.07±0.13 M☉,,27.4 L☉,,"7,345 K",0.18 dex,,data,,,,,196 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigel,β Orionis A,https://en.wikipedia.org/wiki/Rigel,Orion,05h 14m 32.049s,−08° 12′ 14.78″,6.67 (7.5/7.6),B9V + B9V,,,,,RA: +1.31 mas/yr Dec.: +0.50 mas/yr,3.2352 ± 0.0553 mas,863 ly (264 pc),−7.84,3.84 M☉,78.9±7.4 R☉,,1.75±0.10 cgs,"12,100±150 K",−0.06±0.10 dex,8±1 Myr,Rigel,−0.66,−0.03,Alpha Cygni,17.8±0.4 km/s,25±3 km/s,/ˈraɪdʒəl/ or /-ɡəl/,63 yr,,0.1,,,,,C,B,25.0 km/s,,,Main sequence,1.20+0.25−0.21×105 L☉,,,,,,,,,,,,,32.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Rigil Kentaurus,α Centauri A,https://en.wikipedia.org/wiki/Rigil_Kentaurus,Centaurus,14h 39m 35.06311s,−60° 50′ 15.0992″,+1.33,K1V,,,,,RA: −3614.39 mas/yr Dec.: +802.98 mas/yr,750.81 ± 0.38 mas,4.344 ± 0.002 ly (1.3319 ± 0.0007 pc),5.71,0.9092±0.0025 M☉,0.8591±0.0036 R☉,0.4981±0.0007 L☉,4.37 cgs,"5,260 K",0.23 dex,5.3±0.3 Gyr,AB,+0.68,+0.88,,−18.6±1.64 km/s,1.1±0.8 km/s,,79.762±0.019 yr,17.493±0.0096″,0.51947±0.00015,79.243±0.0089°,205.073±0.025°,1875.66±0.012,231.519±0.027°,B,A,,,,,,data,,,,,,36.7±0.3 d,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosalíadecastro,HD 149143,https://en.wikipedia.org/wiki/HD_149143,Ophiuchus,16h 32m 51.0508s,+02° 05′ 05.3814″,7.89,G0 IV,,,,,RA: −9.328±0.115 mas/yr Dec.: −86.739±0.069 mas/yr,13.6179 ± 0.0666 mas,240 ± 1 ly (73.4 ± 0.4 pc),3.87,1.21±0.1 M☉,1.49±0.1 R☉,,4.071±0.07 cgs,5884±50 K,0.26±0.05 dex,,data,,0.680,,,4.0±0.5 km/s,,,,,,,,,,,,,,,,data,,,,,,28 days,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotanev,β Delphini A,https://en.wikipedia.org/wiki/Rotanev,Delphinus,20h 37m 32.94130s,+14° 35′ 42.3195″,3.617±0.016 (4.11 + 5.01),F5 III + F5 IV,,,,,RA: +118.09 mas/yr Dec.: -48.06 mas/yr,32.33 ± 0.47 mas,101 ± 1 ly (30.9 ± 0.4 pc),2.79±0.14,1.47±0.04 M☉,,8 L☉,3.50 cgs,6587 K,–0.05 dex,1.79+0.17−0.72 Gyr,data,,A: 0.43±0.14B: 0.56±0.25,,,49.8 km/s,,26.660 yr,0.440″,0.36,61°,177°,1989.50 yr,349°,,,7.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruchbah,δ Cassiopeiae Aa,https://en.wikipedia.org/wiki/Ruchbah,Cassiopeia,01h 25m 48.95147s,+60° 14′ 07.0225″,2.68,A5 IV,,,,,RA: 296.57 mas/yr Dec.: –49.22 mas/yr,32.81 ± 0.14 mas,99.4 ± 0.4 ly (30.5 ± 0.1 pc),+0.28,2.49 M☉,3.90 R☉,72.88 L☉,,"7,980 K",,6.0×108 years,data,+0.13,+0.13,Algol?,−6.7 km/s,123 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rukbat,α Sagittarii,https://en.wikipedia.org/wiki/Rukbat,Sagittarius,19h 23m 53.17483s,−40° 36′ 57.3705″,+3.97,B8 V,,,,,RA: +30.49 mas/yr Dec.: −119.21 mas/yr,17.94 ± 0.22 mas,182 ± 2 ly (55.7 ± 0.7 pc),+0.23,2.95 M☉,,117 L☉,4.11 cgs,"12,387±421 K",−0.02 dex,33 Myr,data,−0.33,−0.10,,−0.7 km/s,71 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabik,η Ophiuchi A,https://en.wikipedia.org/wiki/Sabik,Ophiuchus,17h 10m 22.68689s,–15° 43′ 29.6639″,2.43 (3.05/3.27),A1 IV + A1 IV,,,,,RA: +40.13 mas/yr Dec.: +99.17 mas/yr,36.91 ± 0.80 mas,88 ± 2 ly (27.1 ± 0.6 pc),,3.478 M☉,,,,,−0.01 dex,,data,+0.09,+0.05,,–0.9 km/s,23 km/s,,87.58 ± 1.00 yr,1.396 ± 0.010″,0.950 ± 0.020,95.2 ± 2.0°,38.9 ± 1.0°,2024.68 ± 0.50,274.8 ± 2.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saclateni,ζ Aurigae A,https://en.wikipedia.org/wiki/Saclateni,Auriga,05h 02m 28.69085s,+41° 04′ 32.9342″,3.751 (3.70 - 3.97),K5 II + B7 V,,,,,RA: +6.872 mas/yr Dec.: -15.567 mas/yr,5.2872 ± 0.5353 mas,approx. 620 ly (approx. 190 pc),−3.21,4.8 M☉,148±3 R☉,"4,786 L☉",1.33 cgs,"3,960±100 K",–0.26 dex,,data,+0.374,+1.293,Algol,+12.11 km/s,5.7±1 km/s,,972.162 d,905 R☉,0.3973 ± 0.0007,87.0°,,RJD 53039.9 ± 0.10,328.9° ± 0.13°,,,23.17 ± 0.02 km/s,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadachbia,γ Aquarii Aa,https://en.wikipedia.org/wiki/Sadachbia,Aquarius,22h 21m 39.37542s,–01° 23′ 14.4031″,3.849,A0 V,,,,,RA: +129.53 mas/yr Dec.: +7.77 mas/yr,19.92 ± 1.04 mas,164 ± 9 ly (50 ± 3 pc),+0.10,2.49 M☉,,,3.99±0.14 cgs,"10,637±362 K",+0.30 dex,158 Myr,data,–0.092,–0.060,,−15.7±0.9 km/s,80 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadalbari,μ Pegasi,https://en.wikipedia.org/wiki/Sadalbari,Pegasus,22h 50m 00.19315s,+24° 36′ 05.6984″,3.514,G8 III,,,,,RA: +144.70 mas/yr Dec.: –41.87 mas/yr,30.74 ± 0.27 mas,106.1 ± 0.9 ly (32.5 ± 0.3 pc),+0.432,2.7 M☉,9.6 ± 0.4 R☉,"4,100 L☉",2.50 cgs,"4,950 K",–0.03 dex,,data,+0.674,+0.932,,+13.54 ± 0.20 km/s,4.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadalmelik,α Aquarii A,https://en.wikipedia.org/wiki/Sadalmelik,Aquarius,22h 05m 47.03593s,−00° 19′ 11.4568″,2.942,G2 Ib,,,,,RA: +18.25 mas/yr Dec.: −9.39 mas/yr,6.23 ± 0.19 mas,520 ± 20 ly (161 ± 5 pc),−3.882,5.13±0.06 M☉,52.89+1.68−1.78 R☉,"2,120±167 L☉",1.76±0.04 cgs,"5,383±74 K",+0.17 dex,53 Myr,data,+0.699,+0.971,,7.5 km/s,6.7±1.5 km/s,,,,,,,,,,,,+0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadalsuud,β Aquarii A,https://en.wikipedia.org/wiki/Sadalsuud,Aquarius,21h 31m 33.53171s,–05° 34′ 16.2320″,2.87,G0 Ib,,,,,RA: +18.77 mas/yr Dec.: −8.21 mas/yr,5.9728 ± 0.2147 mas,550 ± 20 ly (167 ± 6 pc),−3.04,4.97±0.10 M☉,47.88+1.68−1.81 R☉,2046±180 L☉,2.05 cgs,5608±71 K,–0.03 dex,110±10 Myr,data,+0.58,+0.84,,6.451±0.0627 km/s,6.3±1.3 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadr,γ Cygni A,https://en.wikipedia.org/wiki/Sadr_(star),Cygnus,20h 22m 13.70184s,+40° 15′ 24.0450″,2.23,F8 Iab,,,,,RA: +2.39 mas/yr Dec.: -0.91 mas/yr,1.78 ± 0.27 mas,"approx. 1,800 ly (approx. 560 pc)",−4.54,12.11±0.71 M☉,150±80 R☉,,1.02±0.10 cgs,"5,790±100 K",+0.02 dex,12 Myr,data,+0.54,+0.67,suspected,-7.5 km/s,15 km/s,,,,,,,,,,,,,,,"33,023 L☉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagarmatha,HD 100777,https://en.wikipedia.org/wiki/HD_100777,Leo,11h 35m 51.5230s,−04° 45′ 20.5012″,8.42,G8V,,,,,RA: −11.353±0.111 mas/yr Dec.: 35.358±0.061 mas/yr,20.1596 ± 0.0589 mas,161.8 ± 0.5 ly (49.6 ± 0.1 pc),4.95,1.032+0.042−0.045 M☉,1.033+0.021−0.018 R☉,0.946+0.003−0.004 L☉,4.402±0.265 cgs,"5,611±42 K",0.330±0.096 dex,4.78+2.20−2.14 Gyr,data,,0.76±0.02,,,1.676±0.230 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saiph,κ Orionis,https://en.wikipedia.org/wiki/Saiph,Orion,05h 47m 45.38884s,−09° 40′ 10.5777″,2.09,B0.5 Ia,,,,,RA: +1.46 mas/yr Dec.: −1.28 mas/yr,5.04 ± 0.22 mas,650 ± 30 ly (198 ± 9 pc),−6.1,15.50±1.25 M☉,22.2 R☉,"56,881 L☉",2.9 cgs,"26,500 K",,11.1±0.5 Myr,data,−1.02,−0.18,Suspected,+20.5 km/s,83 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salm,τ Pegasi,https://en.wikipedia.org/wiki/Salm_(star),Pegasus,23h 20m 38.24188s,+23° 44′ 25.2098″,+4.58,A5 VpA8V(n)kA5mA5 (λ Boo),,,,,RA: 29.45±0.33 mas/yr Dec.: −9.53±0.27 mas/yr,20.17 ± 0.40 mas,162 ± 3 ly (49.6 ± 1.0 pc),1.10,2.14 M☉,2.8 R☉,32 L☉,3.88 cgs,"7,709 K",−0.28 dex,,data,+0.13,+0.17,δ Sct,+15.20±1.6 km/s,149 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sāmaya,HD 205739,https://en.wikipedia.org/wiki/HD_205739,Piscis Austrinus,21h 38m 08.40391s,−31° 44′ 14.9407″,8.56,F7 V,,,,,RA: +21.914 mas/yr Dec.: −82.166 mas/yr,10.7826 ± 0.1029 mas,302 ± 3 ly (92.7 ± 0.9 pc),3.42,1.329±0.003 M☉,1.59±0.04 R☉,3.52±0.01 L☉,4.15±0.02 cgs,"6,276±41 K",0.21 dex,2.8±0.2 Gyr,data,,0.546±0.015,,+9.30±0.30 km/s,4.06 km/s,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sargas,θ Scorpii A,https://en.wikipedia.org/wiki/Sargas,Scorpius,17h 37m 19.12985s,−42° 59′ 52.1808″,1.84 (1.862 + 6.22),F0 II,,,,,RA: +5.54 mas/yr Dec.: −3.12 mas/yr,9.90 ± 0.26 mas,329 ± 9 ly (101 ± 3 pc),−2.71,3.10+0.37−0.32 M☉,26.3 - 35.5 R☉,"1,400 L☉",2.4±0.2 cgs,"6,294 K",,,data,+0.21,+0.40,,+1.4 km/s,125 km/s,,,,,,,,,,,,,,,,,,,,,,16.60 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarin,δ Herculis Aa,https://en.wikipedia.org/wiki/Sarin_(star),Hercules,17h 15m 01.9106s,24° 50′ 21.135″,3.126,A3IV,,,,,RA: -21.14 mas/yr Dec.: -157.68 mas/yr,43.41 ± 0.15 mas,75.1 ± 0.3 ly (23.04 ± 0.08 pc),+1.31,2.4 M☉,2.2 R☉,38 L☉,,"9,620 ± 350 K",,370 Myr,data,+0.7,+0.08,,−40.0 km/s,270 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceptrum,53 Eridani A,https://en.wikipedia.org/wiki/Sceptrum,Eridanus,04h 38m 10.82486s,−14° 18′ 14.4600″,3.87 (4.02/6.95),K1III,,,,,RA: -76.59 mas/yr Dec.: -176.78 mas/yr,29.69 ± 0.37 mas,110 ± 1 ly (33.7 ± 0.4 pc),,1.07 ± 0.25 M☉,9.8 R☉,37 L☉,2.49 ± 0.23 cgs,4603 K,-0.11 dex,,53 Eri,+1.03,+1.09,,43.33 ± 0.28 km/s,,,77.4 ± 1.5 yr,0.7069 ± 0.0093″,0.666 ± 0.017,59.8 ± 1.8°,171.25 ± 0.96°,1976.77 ± 0.26,23.5 ± 1.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheat,β Pegasi,https://en.wikipedia.org/wiki/Scheat,Pegasus,23h 03m 46.45746s,+28° 04′ 58.0336″,2.42 (2.31 – 2.74),M2.5II–IIIe,,,,,RA: +187.65 mas/yr Dec.: +136.93 mas/yr,16.64 ± 0.15 mas,196 ± 2 ly (60.1 ± 0.5 pc),−1.41,2.1 M☉,95 R☉,,1.20 cgs,"3,689 K",−0.11 dex,,data,+1.96,+1.67,Semi-regular,+8.7 km/s,9.7 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedar,α Cassiopeiae,https://en.wikipedia.org/wiki/Schedar,Cassiopeia,00h 40m 30.4411s,+56° 32′ 14.392″,2.240,K0-IIIa,,,,,RA: 50.88 mas/yr Dec.: −32.13 mas/yr,14.29 ± 0.15 mas,228 ± 2 ly (70.0 ± 0.7 pc),−2.01,3.98 M☉,45.39 R☉,794 L☉,1.73 cgs,"4,552 K",–0.2 dex,220 Myr,data,1.14,1.16,Suspected,−4.31 km/s,6.71 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secunda Hyadum,δ Tauri Aa,https://en.wikipedia.org/wiki/Secunda_Hyadum,Taurus,04h 22m 56.09253s,+17° 32′ 33.0487″,+3.772 (3.90 + 9.50),G9.5 III CN0.5,,,,,RA: +106.56 mas/yr Dec.: −29.18 mas/yr,20.96 ± 0.58 mas,156 ± 4 ly (48 ± 1 pc),+0.41,1.28±0.1 M☉,11.4 R☉,69 L☉,,"5,000 K",+0.10 dex,620 Myr,data,+0.801,+0.919,,,4.2 km/s,,529.8 d,,0.42,,,2434356.5 JD,335°,,,3.0 km/s,,,,,,,,,,,138.2 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segin,ε Cassiopeiae,https://en.wikipedia.org/wiki/Segin_(star),Cassiopeia,01h 54m 23.73409s,+63° 40′ 12.3602″,3.37,B3 V,,,,,RA: +29.587 mas/yr Dec.: −18.387 mas/yr,7.0037 ± 0.1599 mas,470 ± 10 ly (143 ± 3 pc),−2.19,9.2±0.2 M☉,6.10±0.06 R☉,"3,059 L☉",3.5 cgs,"15,174 K",−0.28 dex,15.4±3.0 Myr,data,−0.62,−0.15,Periodic,−8.1 km/s,30 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seginus,γ Boötis Aa,https://en.wikipedia.org/wiki/Seginus,Boötes,14h 32m 04.67180s,+38° 18′ 29.7043″,+3.03+3.02 to +3.07,A7 IV+(n) or A7 III,,,,,RA: −115.71 mas/yr Dec.: +151.16 mas/yr,37.58 ± 0.14 mas,86.8 ± 0.3 ly (26.61 ± 0.10 pc),+0.93,2.10 M☉,5.16+0.71−0.96 R☉,33.4 L☉,3.75±0.05 cgs,"7,800 K",−0.08 dex,0.9 or 1.0 Gyr,data,+0.120,+0.191,δ Sct,−32.40±1.0 km/s,121 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sham,α Sagittae,https://en.wikipedia.org/wiki/Sham_(star),Sagitta,19h 40m 05.7918540977s,+18° 00′ 50.004597761″,+4.38,G1 II,,,,,RA: 14.630 ± 0.257 mas/yr Dec.: -20.160 ± 0.276 mas/yr,8.5307 ± 0.1848 mas,382 ± 8 ly (117 ± 3 pc),−0.96,4.11 M☉,21±2 R☉,340 L☉,3.11 cgs,"5,333 K",−0.15 dex,151 Myr,data,,0.777±0.014,,1.72 ± 0.16 km/s,10 km/s,,,,,,,,,,,,,,bright giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shama,HD 99109,https://en.wikipedia.org/wiki/HD_99109,Leo,11h 24m 17.3586s,–01° 31′ 44.6635″,+9.10,G8/K0IV,,,,,RA: –178.777 mas/yr Dec.: –159.754 mas/yr,18.2228 ± 0.0551 mas,179.0 ± 0.5 ly (54.9 ± 0.2 pc),5.62,0.93±0.02 M☉,0.90±0.03 R☉,0.56±0.02 L☉,4.49±0.03 cgs,"5,270±24 K",0.315±0.030 dex,6±3 Gyr≥ 12.2 Gyr,data,,0.874±0.002,,+33.34±0.28 km/s,1.86±0.50 km/s,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharjah,HIP 79431,https://en.wikipedia.org/wiki/HIP_79431,Scorpius,16h 12m 41.780s,−18° 52′ 31.81″,11.34,M3V,10.46,7.555±0.026,6.855±0.044,6.589±0.018,RA: 35.707 mas/yr Dec.: −214.050 mas/yr,68.7833 ± 0.1217 mas,47.42 ± 0.08 ly (14.54 ± 0.03 pc),10.55,0.49±0.05 M☉0.445 M☉0.466 M☉,0.54±0.02 R☉0.391 R☉0.442 R☉,,4.86 cgs4.815 cgs,"3,689±20 K",+0.46±0.17 dex,,data,,1.486±0.011,,−4.66±0.28 km/s,,,,,,,,,,,,,1.09,,,,data,0.88,,,,,,data,data,,,,,,12.826,,,,9.370,,,,,,,,,,,,,,,,,,
Shaula,λ Scorpii Aa,https://en.wikipedia.org/wiki/Shaula,Scorpius,17h 33m 36.520s,−37° 06′ 13.76″,1.62 + 14.9 + 12.0,B1.5IV + B2IV,,,,,RA: −8.90 mas/yr Dec.: −29.95 mas/yr,5.71 ± 0.90 mas,approx. 570 ly (approx. 180 pc),−3.70,1.8 M☉,4.7±1.0 R☉,"36,300 L☉",4.0 cgs,"25,000±1,000 K",,,data,−0.880,−0.240,Beta Cephei (A),−3.00 km/s,150 km/s,/ˈʃɔːlə/,5.9520 d,49.3 mas,0.26,77.2°,,,,Ab,Aa,39.3 km/s,,,,,,,,,,,3.4±0.5 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheliak,β Lyrae Aa1,https://en.wikipedia.org/wiki/Sheliak_(star),Lyra,18h 50m 04.79525s,+33° 21′ 45.6100″,3.52 (3.25 – 4.36),B6-8II + B,,,,,RA: 4.373±0.087 mas/yr Dec.: −0.982±0.098 mas/yr,3.0065 ± 0.0542 mas,"1,080 ± 20 ly (333 ± 6 pc)",−3.82,13.16 ± 0.3 M☉,6.0 ± 0.2 R☉,"26,300 L☉",4.0 ± 0.1 cgs,"30,000 ± 2,000 K",,23 Myr,β Lyrae,−0.56,+0.00,β Lyr,−14±5 km/s,,,12.9414 days,0.865±0.048 mas,0,92.25 ± 0.82°,254.39 ± 0.83°,,,Beta Lyrae Aa2,Aa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheratan,β Arietis A,https://en.wikipedia.org/wiki/Sheratan,Aries,01h 54m 38.41099s,+20° 48′ 28.9133″,2.655,A5 V,,,,,RA: +98.74 mas/yr Dec.: -110.41 mas/yr,54.74 ± 0.75 mas,59.6 ± 0.8 ly (18.3 ± 0.3 pc),1.55 ± 0.09,1.34 ± 0.07 M☉,,1.3 L☉,4.0 cgs,"9,000 K",0.16 dex,0.3 Gyr,data,+0.170,+0.142,,-1.9 km/s,73 km/s,,106.9954 ± 0.0005 days,36.1 ± 0.3 mas,0.903 ± 0.012,44.7 ± 1.3°,79.1 ± 0.8°,,209.1 ± 1.2°,Beta Arietis B,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sika,HD 181720,https://en.wikipedia.org/wiki/HD_181720,Sagittarius,19h 22m 52.99s,–32° 55′ 08.6″,7.84,G1V,,6.652,6.346,6.294,RA: 88.154 mas/yr Dec.: -415.038 mas/yr,16.5816 ± 0.0664 mas,196.7 ± 0.8 ly (60.3 ± 0.2 pc),4.10,0.92 M☉,1.39 R☉,1.94 L☉,4.24 ± 0.15 cgs,5781 ± 18 K,,,data,,,,-45.404 km/s,1.5 km/s,,,,,,,,,,,,,-0.53 ± 0.02,,,data,0.599,,,,,47 days,,data,,,,,,8.44,,,,,,,,,,,,,,,,,,,,,,
Sirius,α Canis Majoris A,https://en.wikipedia.org/wiki/Sirius,Canis Major,06h 45m 09.0s,−16° 43′ 06″,8.44,DA2,,,,,RA: −461.571 mas/yr Dec.: −914.520 mas/yr,374.4896 ± 0.2313 mas,8.709 ± 0.005 ly (2.670 ± 0.002 pc),+11.18,1.018 ± 0.011 M☉,0.0084 ± 3% R☉,0.056 L☉,8.57 cgs,"25,000 ± 200 K",0.50 dex,228+10−8 Myr,,,,,−5.50 km/s,16 km/s,/ˈsɪriəs/,50.1284 ± 0.0043 yr,7.4957 ± 0.0025″,0.59142 ± 0.00037,136.336 ± 0.040°,45.400 ± 0.071°,"1,994.5715 ± 0.0058",149.161 ± 0.075°,α Canis Majoris B,α Canis Majoris A,,,,White dwarf,,,,,,,,,,,−1.04,−0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Situla,κ Aquarii A,https://en.wikipedia.org/wiki/Situla_(star),Aquarius,22h 37m 45.38049s,−04° 13′ 40.9939″,5.03,K2 III,,,,,RA: −69.23 mas/yr Dec.: −119.67 mas/yr,15.25 ± 0.21 mas,214 ± 3 ly (65.6 ± 0.9 pc),+0.96,,13 R☉,60 L☉,2.5 cgs,"4,581 K",+0.14 dex,,data,+1.16,+1.142,,+7.31 ± 0.16 km/s,3.8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
